Date,Unit1,Unit2,701,702,701a,701b,701c,702a,702b,702c,301-302,303_304,305_306,401_402,403_404,405,508,PAL21,PAL22D,PAL25D,PAL24D,PAL28D,PAL2D,PAL3D,PAL4D,PAL9D,PAL13D
7/6/2016 7:10,59.59000015,54.62999725,497.312439,461.2660828,0,0,0,0,6.01096487,0,98.23162079,150.28508,167.1629028,115.9381714,130.7587585,246.4465332,126.561821,9.009092331,9.505994797,10.68695164,9.575728416,,10.11291695,8.80873394,9.945075989,9.406999588,10.25863647
7/6/2016 7:20,59.62999725,54.93999863,496.256073,463.0792847,0,0,0,0,5.992830753,0,99.15233612,151.005127,167.4499969,117.4371719,131.2115784,236.4631348,117.0504761,8.978165627,9.763436317,10.84776402,9.333159447,,10.11291695,8.820719719,9.97933197,9.438591957,10.25652695
7/6/2016 7:30,59.5,54.39999771,495.0714417,459.8867188,0,0,0,0,6.004768372,0,97.71665192,149.3981781,165.4334259,129.6219788,128.1716461,242.0545197,104.8804779,9.009166718,9.542915344,10.92138195,9.323615074,,10.1049633,8.850980759,9.915776253,9.454943657,10.22389889
7/6/2016 7:40,59.62999725,54.59000015,495.6237793,461.2347412,0,0,0,0,6.001366615,0,98.55823517,150.9457245,166.8949127,119.6209641,130.2058716,242.7041168,96.29978943,8.992667198,9.851407051,10.94650078,9.243559837,,10.09593678,8.864779472,9.945001602,9.469111443,10.17443848
7/6/2016 7:50,59.50999832,54.43000031,495.5403137,460.6904602,0,0,0,6.125294209,6.008095264,0,98.24266052,150.7606354,166.1602783,128.6120148,129.0317078,237.6860657,102.9350891,9.036986351,9.469851494,10.80056,9.137313843,,10.10518551,8.779323578,9.959503174,9.366084099,10.2491293
7/6/2016 8:00,59.46999741,54.98999786,494.9993591,463.5010681,0,0,0,0,5.976431847,0,98.70898438,151.5426331,167.489975,117.3164444,129.2437134,240.9701538,102.7021866,8.999326706,9.842196465,10.91080284,9.175861359,,10.11421204,8.859970093,9.896576881,9.478989601,10.21165371
7/6/2016 8:10,59.22999954,54.43000031,493.5271912,460.8788452,0,0,0,0,5.961395741,0,96.65660095,151.0975494,166.5795593,121.3871307,130.9426117,242.6746521,93.00366974,8.889047623,9.922620773,10.71107197,9.222325325,,10.10551834,8.772183418,9.879115105,9.335120201,10.12793636
7/6/2016 8:20,59.18000031,54.64999771,490.3669434,460.9858093,0,0,0,0,5.919209957,0,94.68424988,150.414978,164.9608154,116.3240204,132.4118805,241.3596802,101.296936,8.893708229,9.420576096,10.8320055,9.128397942,,10.09860039,8.750172615,9.872753143,9.346440315,10.15745831
7/6/2016 8:30,58.93999863,54.52999878,491.398468,462.802887,0,0,0,0,5.933992386,0,94.7039566,149.5943909,167.6346283,119.5628891,133.3999329,237.5588684,89.52883911,8.903734207,9.572990417,10.85471916,8.874250412,,10.10141182,8.804146767,9.94219017,9.41783905,10.16404247
7/6/2016 8:40,59.09000015,54.79999924,491.7166443,463.0125427,0,0,0,0,5.95811224,0,94.44128418,148.4754181,168.2711029,123.1299973,135.5223236,242.1552582,78.64552307,8.91901207,9.406703949,10.82715893,8.913759232,,10.08084297,8.770371437,9.819518089,9.398712158,10.160676
7/6/2016 8:50,59.25999832,54.56999969,493.3787231,463.1646423,0,0,0,0,5.99203825,0,94.96012115,150.7089844,169.9466553,114.6867371,137.6950836,242.4526215,107.3141556,8.932626724,9.754926682,10.82024097,9.242079735,,10.09793472,8.818351746,9.930796623,9.401376724,10.16493034
7/6/2016 9:00,59.3599968,54.06999969,493.1331177,453.9276733,0,0,0,15.64774704,5.983892918,0,96.41811371,150.1446533,170.4465027,116.5347672,142.8156738,230.7219086,103.5960083,8.896853447,9.447877884,10.80666447,9.452095032,,10.1126585,8.737445831,9.867315292,9.368562698,10.16696548
7/6/2016 9:10,59.62999725,54.13999939,494.090332,456.026062,0,0,0,10.21099472,5.987368107,0,94.91900635,149.4541016,168.869873,119.9598618,135.3467407,243.1711273,98.90942383,8.966327667,9.712088585,10.84828281,9.894874573,,10.11006832,8.77747345,9.958800316,9.40385437,10.23551559
7/6/2016 9:20,59.48999786,54.09999847,495.9114075,459.9514465,0,0,0,9.623878479,6.012931824,0,95.24971771,150.1980286,168.4269409,115.9938507,134.7484589,238.6379395,122.3551331,8.934698105,9.726848602,10.6866188,10.06297588,,10.10204124,8.816020966,9.924174309,9.421426773,10.20965672
7/6/2016 9:30,59.32999802,53.64999771,494.6304626,454.7718506,0,0,0,23.22609329,5.987748623,0,95.50667572,150.6849823,169.5004272,109.8274155,139.5667114,237.6824188,141.8143921,8.938175201,9.482318878,11.12503338,10.13381863,,10.12346077,8.811285973,9.933275223,9.422832489,10.22179031
7/6/2016 9:40,59.2899971,54.09999847,493.8685913,459.959259,0,0,0,14.27422237,6.013513565,0,95.0222168,148.4911041,167.9554901,117.9616852,131.6371765,240.0278931,126.7040405,8.982457161,9.581166267,10.89123249,10.17935848,,10.10270691,8.843619347,9.921140671,9.390870094,10.19992733
7/6/2016 9:50,59.36999893,53.25,494.3790588,456.2679138,0,0,0,9.526990891,5.9945755,0,94.96333313,150.5770874,168.8869476,115.8366547,131.1422882,238.4210205,111.0677414,8.923932076,9.537920952,10.86677933,9.821848869,,10.12501431,8.808177948,9.874048233,9.405852318,10.13097
7/6/2016 10:00,59.30999756,54.0399971,494.5768433,459.9840393,0,0,0,6.545937538,6.00528574,0,94.19749451,149.0270538,168.5455322,124.5429916,134.9689178,235.3274536,124.2321625,8.964292526,9.59071064,11.04009628,9.570660591,,10.0913868,8.807771683,9.97359848,9.423239708,10.21805382
7/6/2016 10:10,59.45999908,53.43999863,494.1203918,456.4085388,0,0,0,7.138699055,5.996170521,0,94.41372681,148.9439697,168.6523132,127.3879471,132.9728546,241.0053711,121.9440613,8.95027256,9.341075897,10.95911694,9.645166397,,10.1327095,8.80525589,9.905751228,9.427752495,10.15238953
7/6/2016 10:20,59.23999786,53.64999771,493.9838257,456.9353638,0,0,0,16.89497185,6.005083561,0,95.12037659,148.6170807,166.9373169,116.5652466,137.1365204,239.687027,124.6315994,8.918679237,9.657152176,10.95401096,9.579945564,,10.10048771,8.749210358,9.868461609,9.351878166,10.14928246
7/6/2016 10:30,59.18000031,53.80999756,494.8477783,457.0272522,0,0,0,32.16130066,6.011211872,0,95.10831451,149.7365112,167.7166748,125.882225,130.8593597,239.6477051,112.3266449,8.957005501,9.620047569,10.59909153,9.543395996,,10.09549332,8.798042297,9.902828217,9.372151375,10.21694374
7/6/2016 10:40,59.37999725,53.61999893,494.9615479,454.4838257,0,0,0,17.97572517,5.981496334,0,96.47403717,151.2767334,170.3149109,121.0122299,137.0917053,235.3941193,124.1678696,8.984195709,9.897242546,10.90455055,9.704504013,,10.09645557,8.809621811,9.98062706,9.426901817,10.20270157
7/6/2016 10:50,59.43999863,53.79999924,495.0172729,457.2718811,0,0,0,13.38599205,5.99818182,0,95.30934906,150.6945343,169.9043732,122.9926376,133.2676849,238.6172638,125.1494217,8.95626545,9.638248444,10.96251965,9.841714859,,10.09549332,8.838809967,9.973302841,9.406666756,10.20477295
7/6/2016 11:00,59.23999786,53.61000061,494.9822388,456.5579834,0,0,0,36.22196198,6.006286144,0,95.38564301,150.2041626,169.0099487,113.467308,135.0479584,231.1279907,127.5765533,8.981421471,9.557933807,10.69660759,9.577614784,,10.09493828,8.832224846,9.924766541,9.414989471,10.2119875
7/6/2016 11:10,59.34999847,53.54999924,494.5643921,457.3242798,0,0,0,8.855844498,6.000973225,0,94.88282776,149.6639099,168.269928,121.9580154,131.7539368,244.7590027,124.0944061,8.922970772,9.452687263,11.11656189,9.44669342,,10.12401485,8.764932632,9.846672058,9.364308357,10.13914585
7/6/2016 11:20,59.23999786,53.72999954,493.964325,453.945343,0,0,0,26.2379837,5.989464283,0,95.2529068,150.288681,169.5809326,119.5059204,133.2484894,233.7651825,127.7139664,8.932995796,9.398712158,10.80562878,9.294500351,,10.10503769,8.784613609,9.896465302,9.419873238,10.14225388
7/6/2016 11:30,59.20999908,53.77000046,494.4058228,457.2131348,0,0,0,10.35223103,6.005373478,0,94.90141296,149.8631592,168.0076904,109.5594864,140.1995239,241.8742065,110.6613464,8.907026291,9.634326935,11.31847572,9.082932472,,10.07048512,8.787092209,9.898759842,9.400598526,10.20843506
7/6/2016 11:40,59.19999695,53.52000046,494.1492615,453.5059814,0,0,0,26.72164154,5.982185841,0,95.95307922,149.825058,169.1587219,115.7077713,136.2025909,241.0147705,131.93396,8.958706856,9.402708054,10.86352348,9.068615913,,10.09660244,8.813838959,9.903309822,9.40981102,10.15915966
7/6/2016 11:50,58.93999863,53.61000061,493.7514954,454.7172546,0,0,0,13.31704903,5.981743813,0,96.39906311,151.6688995,169.4867706,116.8051071,136.5302887,230.4676208,118.7697678,8.955747604,9.66159153,10.95323372,8.950716019,,10.09571457,8.763267517,9.932830811,9.367527008,10.16607761
7/6/2016 12:00,59.02000046,53.70999908,493.6231689,457.5294189,0,0,0,6.015631676,6.001726627,0,94.35375214,149.5777283,167.978653,126.2198792,130.8200989,246.5974579,118.7840729,8.948570251,9.625374794,10.89245319,8.969471931,,10.07026291,8.838365555,9.947924614,9.432414055,10.20144367
7/6/2016 12:10,58.98999786,53.63999939,493.3696594,456.4015808,0,0,0,0,5.992343903,0,95.01139069,148.7275696,165.869812,118.8103027,135.0248566,232.8930817,108.6276779,8.920787811,9.654488564,10.726758,8.925375938,,10.05979443,8.788757324,9.900424004,9.393754959,10.2342205
7/6/2016 12:20,58.89999771,53.09000015,493.3079529,453.9005127,0,0,0,25.93490601,6.000655174,0,95.67905426,150.2839661,167.3172302,115.0453949,135.2277374,233.7278748,90.44353485,8.92134285,9.817964554,10.81561661,8.909467697,,10.06708145,8.792715073,9.915222168,9.337376595,10.20358944
7/6/2016 12:30,58.88999939,52.54999924,493.3544617,453.2150574,0,0,0,8.094325066,5.985301971,0,95.32039642,150.609726,168.9867706,115.1021194,132.5872192,241.0122375,102.1492996,8.922008514,9.71390152,10.7933836,8.772257805,,10.05698299,8.830189705,9.89010334,9.392053604,10.18638706
7/6/2016 12:40,58.81999969,52.87999725,491.2131348,452.4307251,0,0,0,6.731751442,5.985636711,0,95.34985352,149.4144287,167.6360168,125.2104797,128.7536011,232.3378448,86.68623352,8.933143616,9.383989334,11.04090977,8.75290966,,10.0816946,8.824308395,9.815375328,9.404409409,10.14332581
7/6/2016 12:50,58.94999695,53.0399971,493.0932617,449.8848572,0,0,0,35.59327316,5.990086555,0,94.98340607,150.646698,168.7041168,114.6411972,133.2133484,240.7314301,97.47932434,8.900182724,9.450874329,10.84362125,8.77603054,,10.07780933,8.726755142,9.857584953,9.288471222,10.12538433
7/6/2016 13:00,59.1099968,52.81999969,492.8760071,452.5120239,0,0,0,9.142500877,5.981678009,0,96.0215683,151.3291321,170.7166443,120.3734512,132.1443939,240.5116272,102.359314,9.017120361,9.377552032,11.19199371,8.80510807,,10.1049633,8.858009338,9.906824112,9.482577324,10.23655033
7/6/2016 13:10,59.06999969,52.71999741,492.793335,451.1523743,0,0,0,8.109447479,5.976620197,0,95.65348053,151.314682,170.0707397,129.6692657,130.8996582,232.5610809,96.64650726,8.961259842,9.587270737,11.30264187,8.751022339,,10.09564114,8.780469894,9.866537094,9.380363464,10.18520355
7/6/2016 13:20,59.02000046,52.66999817,493.4713745,448.3728333,0,0,0,16.81499481,5.962971687,0,96.1493988,151.447464,170.0326691,115.9116974,136.3422852,235.374588,102.1183777,8.980200768,9.599293709,11.01064873,8.776992798,8.662090302,10.07614517,8.811027527,9.967086792,9.426939011,10.21524239
7/6/2016 13:30,58.87999725,53.02000046,493.3420715,447.6374207,0,0,0,48.27069855,5.979343414,0,95.4245224,150.8664551,169.292572,124.3328705,131.4606781,241.2803345,103.4937134,8.979793549,9.61405468,10.7646389,8.761751175,8.73226738,10.08361816,8.81328392,9.889954567,9.398601532,10.26614666
7/6/2016 13:40,59.1099968,52.94999695,492.639679,453.0899658,0,0,0,5.979865074,5.980584145,0,95.43022919,150.5057068,168.3850555,122.8284302,131.9753876,232.7704163,107.9252243,8.902031898,9.777863503,10.92870712,8.74044323,,10.088871,8.78435421,9.931240082,9.398231506,10.11565495
7/6/2016 13:50,59.02999878,52.54999924,491.8913574,450.0262756,0,0,0,6.5594697,5.969793797,0,95.32982635,149.9382935,169.1296844,114.1409225,135.8888092,243.4753113,93.38226318,8.982642174,9.853922844,10.88220596,8.689095497,,10.08802032,8.821866035,9.907711983,9.427568436,10.20044518
7/6/2016 14:00,58.84999847,53.06999969,493.6218872,452.3213806,0,0,0,9.867810249,5.991102695,0,95.27142334,149.965683,168.5088654,119.3209534,129.8884888,242.4107208,99.83927155,8.93184948,9.617642403,11.04701424,8.674038887,,10.09919262,8.807328224,9.873085976,9.392978668,10.12061214
7/6/2016 14:10,58.93000031,53.09000015,491.2425537,450.628479,0,0,0,6.867133617,5.990139961,0,95.36190796,149.646225,168.962326,115.5590515,131.8487244,236.3856964,90.08599854,8.962813377,9.618679047,10.69523811,8.78213501,,10.09527111,8.748655319,9.902163506,9.361089706,10.12401485
